"","b1","b2"
"1",0.0005169,0.000311
"2",0.0003874,-0.0003355
"3",0.0005497,-0.002405
"4",-0.02223,0.01596
"5",0.001627,-0.001079
"6",-0.003906,0.01029
"7",0.0008352,-0.002635
"8",-0.00247,-0.0003823
"9",0.002242,-0.002378
"10",0.002065,0.01989
"11",2.993e-05,-0.003397
"12",0.001623,0.007105
"13",-0.0008374,0.003261
"14",-0.0007552,-0.002986
"15",-0.00502,0.0009101
"16",-0.001447,0.001004
"17",-0.001808,0.01159
"18",-0.001457,0.004425
"19",-0.001317,0.0007444
"20",-0.001457,0.001246
"21",-0.0008613,0.001091
"22",-0.001676,-0.0003442
"23",-0.002982,0.007523
"24",-0.0006754,-0.0001535
"25",0.008436,0.004749
"26",0.0007474,0.02039
"27",-0.0006457,0.002483
"28",0.0003025,-0.002298
"29",-0.001638,0.008647
"30",0.006724,0.004702
"31",-0.0002793,-0.004503
"32",-0.004467,0.01557
"33",-4.039e-05,-0.002581
"34",8.846e-05,0.000692
"35",-0.02358,0.01805
"36",-0.008957,0.01884
"37",-0.002211,0.01
"38",-3.695e-05,-0.006436
"39",8.43e-05,-0.001255
"40",-0.001015,0.004161
"41",0.0002114,-0.005798
"42",-0.001647,-0.004398
"43",-0.001103,-0.006878
"44",-0.0003385,-0.01074
"45",-0.0004391,-0.00534
"46",0.001346,0.002193
"47",-0.0004181,-0.004436
"48",0.0007474,0.0103
"49",-0.0006874,-0.009454
"50",-0.0001877,-0.01128
"51",0.002035,0.003082
"52",-0.0003026,-0.002407
"53",-0.001562,0.01148
"54",0.006637,0.009355
"55",-0.001875,0.002735
"56",0.02357,0.009714
"57",-0.009112,0.008047
"58",0.0009756,-0.0005234
"59",-0.0003948,0.005041
"60",0.0006481,0.01204
"61",0.00468,0.01327
"62",0.001153,-0.009553
"63",-0.002761,-0.002051
"64",0.03298,0.01801
"65",0.023,0.00902
"66",-0.000147,-0.006056
"67",-0.002063,0.00318
"68",0.0006225,0.007741
"69",-0.0007478,0.001076
"70",0.0009463,0.02546
"71",-0.00432,0.01982
"72",-0.01625,0.0205
"73",0.004341,0.01223
"74",-0.0006496,-0.00855
"75",-0.002418,0.002321
"76",-0.001108,0.01441
"77",0.004337,0.0063
"78",-0.0009056,-0.001542
"79",-0.006929,0.01077
"80",-0.0008388,-0.007383
"81",-0.0003438,-0.00428
"82",0.0003676,0.0006881
"83",-0.001781,0.003734
"84",0.0003654,0.006218
"85",-0.0008647,-0.002013
"86",-0.005306,0.009425
"87",-0.0004702,0.0003216
"88",0.0008922,0.001387
"89",-0.006893,0.007968
"90",-0.001106,0.003167
"91",-2.137e-05,0.002825
"92",9.323e-05,0.00346
"93",0.003695,0.005608
"94",0.001374,0.00638
"95",-0.001807,0.003729
"96",-0.001821,-0.003746
"97",-0.0005412,-0.01092
"98",0.0005409,0.006027
"99",0.005219,0.003018
"100",-0.001718,0.007341
"101",-0.00957,0.01542
"102",-0.0006001,0.00528
"103",0.0004592,-0.002689
"104",-0.000337,-0.007124
"105",-0.0006785,0.004133
"106",-0.0009098,0.002405
"107",-0.01649,0.01443
"108",-0.0005782,-0.001604
"109",-0.003852,0.01059
"110",-0.0006436,-0.002065
"111",-0.0004317,0.005675
"112",-0.01382,0.005069
"113",-0.001442,0.002242
"114",-0.001358,0.001047
"115",0.005675,0.003654
"116",6.051e-05,-0.0007844
"117",0.001003,-0.00792
"118",-0.001468,0.00894
"119",-0.0002015,0.01225
"120",-0.0005556,0.005971
"121",0.0001638,-0.002887
"122",-0.0004081,-0.009416
"123",-0.001597,0.001975
"124",0.0004884,-0.002903
"125",0.002167,0.004909
"126",-0.001985,0.01176
"127",0.01103,0.01056
"128",-0.003984,0.01051
"129",-3.352e-05,-0.002589
"130",0.0006571,-2.841e-05
"131",-0.002427,2.502e-05
"132",0.001235,0.005003
"133",0.03021,0.01082
"134",0.01858,0.01561
"135",0.01199,0.01259
"136",-0.000133,-0.007738
"137",0.005893,0.009763
"138",0.0009677,0.005906
"139",-0.0009714,-0.01753
"140",-0.0008896,0.003865
"141",-0.0008502,-0.002469
"142",-0.0009217,-0.006858
"143",0.001436,0.00136
"144",-0.001147,-0.002586
"145",-0.0003149,-0.0005439
"146",-0.01041,0.001229
"147",-0.001853,0.0109
"148",0.001042,0.01062
"149",-7.528e-05,-0.01
"150",0.001477,-0.001301
"151",-0.003138,0.002978
"152",-0.0004001,0.009861
"153",-0.0007979,0.001054
"154",0.02716,0.0168
"155",0.0003929,0.004646
"156",-0.0009906,0.003112
"157",-0.003666,0.00847
"158",-0.0004615,-0.007143
