"","x"
"1",1.493
"2",0.6967
"3",0.3017
"4",-0.09231
"5",0.4134
"6",0.2939
"7",0.217
"8",-0.01637
"9",0.1738
"10",0.03552
"11",0.06553
"12",0.05797
"13",0.0837
"14",0.1207
"15",0.007192
"16",0.05553
"17",0.01946
"18",0.1006
"19",0.04013
"20",0.07206
"21",0.0244
"22",0.07196
"23",0.06129
"24",0.1146
"25",0.04678
"26",0.06155
"27",0.032
"28",0.007368
"29",0.04712
"30",0.01007
"31",0.03076
"32",0.03597
"33",0.04336
"34",0.01661
"35",0.04318
"36",0.02899
"37",0.02476
"38",0.02891
"39",0.02296
"40",0.02685
"41",0.03175
"42",0.03159
"43",0.04388
"44",0.0139
"45",0.04573
"46",0.0521
"47",0.0258
"48",0.05002
"49",0.02433
"50",0.01896
"51",0.021
"52",0.01051
"53",0.01547
"54",0.02149
"55",0.0366
"56",0.02223
"57",0.03711
"58",0.02666
"59",0.02636
"60",0.002787
"61",0.01121
"62",0.03317
"63",0.00755
"64",0.02846
"65",0.003732
"66",0.01046
"67",0.01752
"68",0.01888
"69",0.03027
"70",0.01799
"71",-0.008404
"72",0.0275
"73",0.02779
"74",0.03265
"75",0.01985
"76",0.01136
"77",0.01537
"78",0.02005
"79",0.01945
"80",0.02191
"81",0.001098
"82",0.0273
"83",0.01583
"84",0.00597
"85",0.01091
"86",0.008211
"87",0.0007055
"88",0.02379
"89",0.01929
"90",0.01874
"91",0.00703
"92",0.01517
"93",0.01691
"94",0.01573
"95",0.02156
"96",0.02301
"97",0.004878
"98",0.01929
"99",0.009484
"100",-0.0005483
"101",0.01466
"102",0.01662
"103",0.006103
"104",0.00562
"105",0.01106
"106",0.003508
"107",0.004762
"108",0.02308
"109",0.01056
"110",0.005137
"111",0.01116
"112",0.01261
"113",0.01057
"114",0.02083
"115",-0.002818
"116",0.008708
"117",0.01231
"118",0.01203
"119",0.005252
"120",0.02124
"121",0.007571
"122",0.002059
"123",0.01233
"124",0.0121
"125",0.01118
"126",0.006509
"127",-0.004619
"128",0.005512
"129",0.002777
"130",-0.002384
"131",-0.0001389
"132",0.008577
"133",0.001868
"134",0.005068
"135",0.01127
"136",0.008973
"137",0.008408
"138",0.01
"139",0.008271
"140",0.01114
"141",0.009564
"142",0.007356
"143",0.01371
"144",0.01008
"145",0.01021
"146",0.01275
"147",0.01175
"148",0.0131
"149",0.009666
"150",0.005939
"151",0.006209
"152",0.002451
"153",0.005412
"154",0.008609
"155",0.01151
"156",0.005386
"157",0.007658
"158",0.005308
"159",0.01064
"160",0.01448
"161",0.01248
"162",0.01179
"163",0.00679
"164",0.01296
"165",0.007273
"166",0.006827
"167",0.003158
"168",0.00424
"169",0.00273
"170",0.01296
"171",0.008893
"172",0.008995
"173",0.007585
"174",0.007573
"175",0.008016
"176",0.005425
"177",0.01577
"178",0.003355
"179",0.007893
"180",0.001469
"181",0.006777
"182",0.007491
"183",0.007627
