"aou","jags","dic"
"0","0","0"
"2890","fixed","56253321.9498474"
"2890","randomefx","307978.256997515"
"2930","fixed","155715.421672809"
"2930","randomefx","18374.7908367397"
"2940","fixed","767442.79299791"
"2940","randomefx","38707.2159856374"
"3080","fixed","6363.05289547775"
"3080","randomefx","5947.24873720884"
"3100","fixed","84694.0827657051"
"3100","randomefx","45891.2146862452"
"3200","fixed","94298.8210697059"
"3200","randomefx","19517.8582915445"
"3210","fixed","10207.8152134741"
"3210","randomefx","7131.48175322721"
"3260","fixed","118368.647273779"
"3260","randomefx","36893.902282615"
"3750","fixed","30711.4862419701"
"3750","randomefx","30092.3971197654"
"3850","fixed","19069.3470414876"
"3850","randomefx","13430.6519149849"
"3930","fixed","163868.654426183"
"3930","randomefx","88730.4207970054"
"3940","fixed","3569254.27370243"
"3940","randomefx","206039.99436273"
"4050","fixed","773603.895433272"
"4050","randomefx","117881.200654839"
"4090","fixed","40791670.3929203"
"4090","randomefx","254766.600303435"
"4780","fixed","1450119.80730858"
"4780","randomefx","49793.3505232513"
