"","x"
"1",-0.3997
"2",-0.2615
"3",-0.2068
"4",-0.1305
"5",-0.1131
"6",0.222
"7",0.1153
"8",0.09026
"9",-0.0145
"10",0.0415
"11",0.03718
"12",0.0212
"13",0.008888
"14",0.02274
"15",0.05748
"16",0.05965
"17",0.04004
"18",0.07016
"19",0.04462
"20",0.028
"21",0.02358
"22",-0.05099
"23",-0.03874
"24",-0.01173
"25",-0.02498
"26",-0.02886
"27",-0.02281
"28",-0.02413
"29",-0.04009
"30",-0.04015
"31",0.03084
"32",0.0426
"33",0.02148
"34",-0.0345
"35",0.01917
"36",-0.009672
"37",-0.01597
"38",-0.004561
"39",-0.01551
"40",-0.003679
"41",-0.00533
"42",0.006598
"43",-0.006843
"44",0.0001632
"45",0.01626
"46",-0.005546
"47",-0.01357
"48",0.02218
"49",0.004164
"50",-0.01019
"51",0.01043
"52",0.01712
"53",-0.009467
"54",-0.001733
"55",0.02577
"56",-0.0146
"57",0.01813
"58",-0.01338
"59",-0.002635
"60",-0.008013
"61",-0.008948
"62",-0.002108
"63",-0.01883
"64",-0.0182
"65",-0.00166
"66",-0.01395
"67",-0.003575
"68",-0.003275
"69",0.007487
"70",-0.008275
"71",-0.01792
"72",-0.008573
"73",-0.008129
"74",0.01273
"75",-0.004451
"76",-0.007284
"77",0.007076
"78",0.00774
"79",-0.009905
"80",-0.009756
"81",0.009401
"82",0.001224
"83",0.007666
"84",0.003974
"85",0.001009
"86",0.005534
"87",-0.007339
"88",0.004086
"89",0.0006396
"90",-0.007251
"91",0.005896
"92",-0.004951
"93",-0.007999
"94",0.008758
"95",-0.004293
"96",0.01388
"97",-0.004446
"98",-0.005355
"99",0.007104
"100",0.008074
"101",-0.009282
"102",0.001366
"103",-0.003499
"104",-0.002531
"105",-0.005248
"106",0.009012
"107",0.00131
"108",-0.01097
"109",-0.003942
"110",0.00766
"111",0.008057
"112",0.009028
"113",-0.01041
"114",-0.01017
"115",-0.00418
"116",-0.005986
"117",-0.003983
"118",0.0006568
"119",-0.004466
"120",-0.0006669
"121",0.00737
"122",0.003801
"123",-4.607e-05
"124",-0.001392
"125",-0.004509
"126",0.009348
"127",0.00282
"128",-0.003212
"129",-0.0008483
"130",-0.007489
"131",-0.006965
"132",0.00447
"133",-0.0003078
"134",-0.006638
"135",0.003296
"136",0.0009425
"137",-0.001853
"138",0.0008566
"139",-0.006492
"140",0.003927
"141",0.004105
"142",0.008911
"143",0.005592
"144",-0.007163
"145",-0.004729
"146",0.008005
"147",-0.006168
"148",0.003121
"149",2.216e-05
"150",-0.002398
"151",-0.003897
"152",0.002598
"153",-0.007439
"154",-0.0017
"155",0.004252
"156",0.001085
"157",0.006474
"158",-0.001607
"159",-0.008053
"160",0.005924
"161",-0.006276
"162",-0.008178
"163",0.001712
"164",-0.002109
"165",-0.003228
"166",-0.0016
"167",-0.001392
"168",0.0002626
"169",-0.001932
"170",-0.003712
"171",-0.001319
"172",-0.001539
"173",-0.005164
"174",0.002362
"175",-0.002324
"176",-0.005077
"177",0.004069
"178",0.002791
"179",-0.002811
"180",0.005006
"181",-0.0004842
"182",0.003864
"183",0.002793
"184",-0.001435
"185",-0.004356
"186",-0.005659
"187",-0.005166
"188",0.003215
"189",-0.006115
"190",-0.006373
"191",0.007973
"192",0.01205
"193",0.007272
"194",-0.0004744
"195",0.006901
"196",-0.006406
"197",-0.001152
"198",-0.0002833
"199",0.001495
"200",0.001415
"201",0.0001944
"202",-0.003757
"203",-0.002678
"204",-0.002606
"205",-0.0008807
"206",0.00336
"207",0.00081
"208",0.001659
"209",-0.0005976
"210",-0.002586
"211",0.002742
"212",0.001223
"213",0.0004692
"214",-0.00446
"215",-0.005328
"216",-0.005955
"217",-0.005914
"218",0.001109
"219",0.0005064
"220",-0.005763
"221",-0.0009278
"222",-0.0008213
"223",0.007283
"224",-0.0005539
"225",-0.005333
"226",-0.002286
"227",0.004106
"228",0.0004186
"229",-0.001153
"230",-0.002463
"231",-0.001536
"232",-0.002502
"233",0.002656
"234",-0.001898
"235",0.002675
"236",-0.0003828
"237",-0.002569
"238",-0.001494
"239",-0.001973
"240",-0.002503
"241",-0.002433
"242",-0.003706
"243",-0.002949
"244",-0.004474
"245",0.000589
"246",-0.001235
"247",-0.004968
"248",-0.0009928
"249",-0.00239
"250",0.005974
"251",-0.002313
"252",-0.004369
"253",0.001044
"254",-0.003223
"255",-0.002448
"256",0.0008093
"257",-0.0003427
"258",-0.00191
"259",-0.002445
"260",-0.002955
"261",-0.003085
"262",0.00246
"263",0.0008901
"264",0.0001309
"265",0.003027
"266",0.002717
"267",-0.0002629
"268",0.002771
"269",0.001969
"270",-0.003512
"271",0.0004705
"272",-0.000247
"273",0.003897
"274",3.393e-06
"275",-0.001656
"276",0.0004291
"277",-0.003431
"278",0.0001433
"279",-0.001369
"280",-0.0008294
"281",0.00312
"282",0.00262
"283",0.001848
"284",0.001327
"285",0.002225
"286",-0.0002932
"287",-0.00123
"288",0.0009673
"289",-0.002466
"290",-0.002641
"291",-0.001213
"292",-0.002009
"293",0.006689
"294",-0.0008697
"295",0.00371
"296",-0.002967
"297",-0.0007788
"298",-0.0001806
"299",-0.003864
"300",0.003073
"301",-0.001957
"302",-0.001969
"303",-0.002694
"304",-0.001362
"305",0.0003307
"306",-0.001578
"307",0.001434
"308",-0.002974
"309",0.001153
"310",-0.003691
"311",-0.0005051
"312",-0.0004781
"313",-0.002952
"314",-0.002017
"315",0.0004953
"316",-0.001784
"317",0.000477
"318",-0.004037
"319",-0.001332
"320",-0.002924
"321",-0.0003493
"322",0.001609
"323",-0.001529
"324",0.000974
"325",0.0007922
"326",-0.001823
"327",-0.001484
"328",-0.0008145
"329",0.002678
"330",-0.00263
"331",-0.001278
"332",0.00165
"333",-0.0005822
"334",-0.001889
"335",-0.002955
"336",-0.001973
"337",9.578e-05
"338",-0.0004396
"339",0.003021
"340",-0.0001225
"341",0.002209
"342",-0.0005971
"343",0.0002586
"344",-0.001616
"345",0.0004662
"346",-0.002917
"347",0.0001591
"348",-0.001889
"349",0.002016
"350",0.000164
"351",-0.0005307
"352",-0.001522
"353",-0.0007888
"354",0.001841
"355",0.003194
"356",-0.00318
"357",0.00279
"358",0.002035
"359",-0.003645
"360",-0.001491
"361",-0.0005752
"362",-0.0007943
"363",-0.0003633
"364",-0.001472
"365",0.001318
"366",0.003304
"367",-0.001433
"368",-0.0003339
"369",-0.001098
"370",0.002286
"371",-0.0008626
"372",-0.0001547
"373",-0.001016
"374",-0.0008378
"375",-0.001584
"376",-0.0001426
"377",0.001042
"378",0.002371
"379",0.0004044
"380",0.0008568
"381",0.001409
"382",-0.001372
"383",0.001392
"384",0.001083
"385",0.003247
"386",0.002926
"387",-0.001275
"388",0.002568
"389",0.0004966
"390",0.001903
"391",-0.002462
"392",-0.0009541
"393",0.001346
"394",-0.00268
"395",0.0017
"396",-0.0003612
"397",0.0003306
"398",0.0002356
"399",-0.00256
"400",-0.0007092
"401",-0.001394
"402",-0.0004813
"403",-0.0004257
"404",-0.0004248
"405",-0.003386
"406",-7.094e-05
"407",-0.001477
"408",-0.0003829
"409",0.003413
"410",-0.0018
"411",-0.001068
"412",0.0009317
"413",0.002602
"414",0.001142
"415",-0.002129
"416",0.002173
"417",0.001179
"418",0.001482
"419",0.0008287
"420",-0.0009252
"421",-0.001678
"422",-0.0008932
"423",-0.002405
"424",0.004142
"425",0.002936
"426",0.002923
"427",0.00313
"428",0.001447
"429",0.002816
"430",-0.00282
"431",-0.0007903
"432",-0.001218
"433",-0.001149
"434",0.0007157
"435",0.0003956
"436",-0.000341
"437",-0.001294
"438",0.002964
"439",0.004145
"440",-0.0001871
"441",-5.356e-05
"442",0.0008604
"443",-0.001269
"444",0.00245
"445",-0.0007261
"446",-0.002559
"447",0.001245
"448",-0.0003673
"449",-0.002855
"450",1.125e-05
"451",0.001753
"452",-0.0001543
"453",0.001316
"454",0.0001378
"455",-3.544e-05
"456",-0.0002687
"457",-0.0006114
"458",-0.002573
"459",0.0003646
"460",-0.00132
"461",0.0004782
"462",0.002131
"463",-0.002802
"464",-0.0002617
"465",-0.0001285
"466",0.00164
"467",-0.002281
"468",0.0009825
"469",-0.001128
"470",-0.001254
"471",-0.001156
"472",0.002082
"473",0.0001946
"474",-0.0006082
"475",-0.001165
"476",0.002038
"477",-0.0005371
"478",0.001076
"479",-0.00189
"480",-0.002096
"481",0.00103
"482",0.001076
"483",0.001397
"484",-0.0007369
"485",-0.0005226
"486",0.001033
"487",0.001085
"488",-0.0003696
"489",0.0002618
"490",-0.001175
"491",-0.00116
"492",0.0007084
"493",-0.0001853
"494",-0.002516
"495",-0.0004265
"496",-0.0005791
"497",0.0006624
"498",-0.001333
"499",-0.0006743
"500",0.00246
"501",-0.0006781
"502",-0.001889
"503",-0.001163
"504",0.001203
"505",0.0007788
"506",-0.0005806
"507",-0.001136
"508",-0.001141
"509",0.000823
"510",-0.001415
"511",-0.0004083
"512",0.0009249
"513",-0.001536
"514",9.233e-06
"515",0.001148
"516",0.002336
"517",0.001387
"518",0.0001099
"519",-0.001494
"520",-0.0004349
"521",-0.001852
"522",0.0004898
"523",-0.00158
"524",-0.00149
"525",-0.0004876
"526",-0.001617
"527",0.001079
"528",7.096e-06
"529",0.001289
"530",-0.002508
"531",-0.001747
"532",-0.0005992
"533",-0.001999
"534",0.002468
"535",0.003324
"536",-0.0002725
"537",0.001128
"538",-0.0002541
"539",-0.0002965
"540",0.00157
"541",0.0025
"542",0.001643
"543",-0.0006904
"544",-0.001382
"545",0.0001629
"546",0.0005357
"547",0.0008462
"548",-0.001087
"549",-0.001452
"550",-0.0005858
"551",4.152e-07
"552",-0.0003868
"553",-0.00102
"554",0.0001491
"555",0.003457
"556",-0.0009439
"557",0.0004314
"558",-0.0008178
"559",-6.192e-06
"560",-0.001341
"561",-0.0003046
"562",-0.0002237
"563",-0.001502
"564",0.0008438
"565",0.0003372
"566",0.0007927
"567",-0.0002339
"568",0.0003981
"569",0.00087
"570",-0.0009407
"571",0.001127
"572",-0.001047
"573",-0.001514
"574",-0.0008257
"575",0.001392
"576",-0.0005715
"577",-0.001671
"578",-0.0003764
"579",0.00022
"580",-0.0008519
"581",0.003927
"582",0.001322
"583",0.001443
"584",-0.001318
"585",0.001247
"586",-0.0004188
"587",-0.001076
"588",-0.0007608
"589",-0.0005394
"590",0.002199
"591",0.001427
"592",0.0001969
"593",0.0005328
"594",-0.001026
"595",-4.089e-05
"596",-0.0006063
"597",0.0002594
"598",-0.0007632
"599",0.001627
"600",-0.000571
"601",0.0002807
"602",-0.0008434
"603",0.001613
"604",-0.001288
"605",-0.0003869
"606",-0.001257
"607",0.001077
"608",-0.001782
"609",0.001362
"610",-0.0002812
"611",-0.001262
"612",-0.0002347
"613",-0.0003437
"614",0.00117
"615",-0.001234
"616",0.0007102
"617",-0.000392
"618",0.002949
"619",-0.0003884
"620",-0.0004785
"621",-0.002142
"622",-0.002187
"623",-0.002024
"624",-0.002167
"625",-0.0001979
"626",2.293e-05
"627",-0.0006234
"628",0.0006724
"629",0.0003219
"630",-0.00127
"631",-0.0007271
"632",-0.001205
"633",-0.0004209
"634",-0.002068
"635",0.0003176
"636",0.001256
"637",-0.0007703
"638",1.271e-05
"639",-0.0009313
"640",-0.0009388
"641",0.000169
"642",-2.968e-05
"643",-4.302e-05
"644",-0.0009544
"645",0.001573
"646",0.000271
"647",-0.0002219
"648",0.0004259
"649",0.001925
"650",-0.001831
"651",-0.001771
"652",-0.00093
