"","b1","b2"
"1",-0.0005022,-0.01317
"2",-0.001067,0.0006071
"3",-0.001958,0.005423
"4",0.03926,0.005908
"5",-0.006973,0.001454
"6",-0.003156,0.00109
"7",0.01444,0.009358
"8",0.1074,0.02753
"9",-0.002559,0.01032
"10",-0.000896,-0.01098
"11",-0.03321,0.008399
"12",-0.0007746,0.006681
"13",0.0009407,-0.008775
"14",-0.002505,-0.007177
"15",-0.02331,0.003297
"16",-0.0003107,-0.003755
"17",-0.00251,0.007429
"18",0.0002376,-0.005122
"19",-0.00624,0.009043
"20",-0.01898,0.02358
"21",0.01425,0.01737
"22",0.004633,0.007383
"23",-0.002472,0.0005402
"24",-0.01269,-0.006181
"25",-0.04673,0.007849
"26",-6.575e-05,0.01313
"27",0.0226,0.0112
"28",-0.0004935,-0.003336
"29",-0.0006394,-0.006155
"30",-0.0002813,0.005959
"31",-0.001,0.005594
"32",-0.0005552,-0.009219
"33",-0.0002827,-0.009143
"34",-0.0108,0.002063
"35",-0.001291,-0.00688
"36",-0.003092,0.005628
"37",-0.002595,0.004451
"38",-0.001111,-0.02001
"39",-0.001319,-0.004456
"40",0.0001551,0.007814
"41",-0.0004637,0.0001705
"42",-0.000199,-0.005065
"43",-0.008912,0.01626
"44",-0.0004445,-0.006917
"45",-0.0005428,-0.00335
"46",-0.006421,0.001509
"47",-0.002775,5.112e-05
"48",-0.0002134,0.01774
"49",-0.006987,0.01512
"50",-0.0009433,0.002529
"51",-0.001739,-0.00775
"52",-0.0005639,0.00667
"53",-0.001514,0.001801
"54",-0.01004,0.005796
"55",0.0005664,0.00261
"56",-0.01196,0.009414
"57",-0.002724,-0.0001462
"58",0.007116,0.02364
"59",0.01233,0.02554
"60",-0.03134,0.02153
"61",0.04744,0.01485
"62",-0.002008,-0.0009674
"63",-0.000663,0.01126
"64",0.03221,0.01725
"65",-0.001529,-0.01165
"66",-0.004865,0.003926
"67",-0.005926,0.0001916
"68",-0.007476,0.002521
"69",-0.0015,0.001524
"70",-0.004345,-0.0007356
